298.15 -> 2000 for radius = 0.0001 for material: Железо
        Counter |            Time |        Velocity |                  Distance |     Temperature
95069.00        | 1.23            | 9.33            | 7.45                      | 1341.77        
95992.00        | 1.24            | 9.42            | 7.59                      | 1347.82        
96915.00        | 1.26            | 9.51            | 7.74                      | 1353.80        
97838.00        | 1.27            | 9.60            | 7.89                      | 1359.74        
98761.00        | 1.28            | 9.69            | 8.04                      | 1365.61        
99684.00        | 1.29            | 9.78            | 8.19                      | 1371.44        
100607.00       | 1.30            | 9.87            | 8.34                      | 1377.20        
101530.00       | 1.32            | 9.96            | 8.49                      | 1382.92        
102453.00       | 1.33            | 10.05           | 8.65                      | 1388.58        
103376.00       | 1.34            | 10.14           | 8.81                      | 1394.20        
104299.00       | 1.35            | 10.23           | 8.96                      | 1399.76        
105222.00       | 1.36            | 10.32           | 9.12                      | 1405.27        
106145.00       | 1.38            | 10.41           | 9.28                      | 1410.73        
107068.00       | 1.39            | 10.50           | 9.45                      | 1416.14        
107991.00       | 1.40            | 10.59           | 9.61                      | 1421.50        
108914.00       | 1.41            | 10.68           | 9.77                      | 1426.81        
109837.00       | 1.42            | 10.78           | 9.94                      | 1432.07        
110760.00       | 1.44            | 10.87           | 10.11                     | 1437.29        
111683.00       | 1.45            | 10.96           | 10.28                     | 1442.45        
112606.00       | 1.46            | 11.05           | 10.45                     | 1447.57        
113529.00       | 1.47            | 11.14           | 10.62                     | 1452.64        
114452.00       | 1.48            | 11.23           | 10.79                     | 1457.67        
115375.00       | 1.50            | 11.32           | 10.97                     | 1462.64        
116298.00       | 1.51            | 11.41           | 11.14                     | 1467.58        
117221.00       | 1.52            | 11.50           | 11.32                     | 1472.46        
118144.00       | 1.53            | 11.59           | 11.50                     | 1477.31        
119067.00       | 1.54            | 11.68           | 11.68                     | 1482.10        
119990.00       | 1.56            | 11.77           | 11.86                     | 1486.86        
120913.00       | 1.57            | 11.86           | 12.05                     | 1491.57        
121836.00       | 1.58            | 11.95           | 12.23                     | 1496.24        
122759.00       | 1.59            | 12.04           | 12.42                     | 1500.86        
123682.00       | 1.60            | 12.13           | 12.60                     | 1505.45        
124605.00       | 1.61            | 12.22           | 12.79                     | 1509.98        
125528.00       | 1.63            | 12.31           | 12.98                     | 1514.49        
126451.00       | 1.64            | 12.40           | 13.17                     | 1518.94        
127374.00       | 1.65            | 12.50           | 13.37                     | 1523.36        
128297.00       | 1.66            | 12.59           | 13.56                     | 1527.73        
129220.00       | 1.67            | 12.68           | 13.76                     | 1532.07        
130143.00       | 1.69            | 12.77           | 13.96                     | 1536.36        
131066.00       | 1.70            | 12.86           | 14.15                     | 1540.62        
131989.00       | 1.71            | 12.95           | 14.35                     | 1544.83        
132912.00       | 1.72            | 13.04           | 14.56                     | 1549.02        
133835.00       | 1.73            | 13.13           | 14.76                     | 1553.15        
134758.00       | 1.75            | 13.22           | 14.96                     | 1557.26        
135681.00       | 1.76            | 13.31           | 15.17                     | 1561.32        
136604.00       | 1.77            | 13.40           | 15.38                     | 1565.35        
137527.00       | 1.78            | 13.49           | 15.58                     | 1569.34        
138450.00       | 1.79            | 13.58           | 15.79                     | 1573.29        
139373.00       | 1.81            | 13.67           | 16.01                     | 1577.21        
140296.00       | 1.82            | 13.76           | 16.22                     | 1581.09        
141219.00       | 1.83            | 13.85           | 16.43                     | 1584.93        
142142.00       | 1.84            | 13.94           | 16.65                     | 1588.75        
143065.00       | 1.85            | 14.03           | 16.86                     | 1592.52        
143988.00       | 1.87            | 14.13           | 17.08                     | 1596.26        
144911.00       | 1.88            | 14.22           | 17.30                     | 1599.97        
145834.00       | 1.89            | 14.31           | 17.52                     | 1603.64        
146757.00       | 1.90            | 14.40           | 17.75                     | 1607.28        
147680.00       | 1.91            | 14.49           | 17.97                     | 1610.89        
148603.00       | 1.93            | 14.58           | 18.20                     | 1614.45        
149526.00       | 1.94            | 14.67           | 18.42                     | 1618.00        
150449.00       | 1.95            | 14.76           | 18.65                     | 1621.50        
151372.00       | 1.96            | 14.85           | 18.88                     | 1624.98        
152295.00       | 1.97            | 14.94           | 19.11                     | 1628.42        
153218.00       | 1.99            | 15.03           | 19.34                     | 1631.83        
154141.00       | 2.00            | 15.12           | 19.58                     | 1635.21        
155064.00       | 2.01            | 15.21           | 19.81                     | 1638.56        
155987.00       | 2.02            | 15.30           | 20.05                     | 1641.87        
156910.00       | 2.03            | 15.39           | 20.29                     | 1645.17        
157833.00       | 2.05            | 15.48           | 20.53                     | 1648.42        
158756.00       | 2.06            | 15.57           | 20.77                     | 1651.65        
159679.00       | 2.07            | 15.66           | 21.01                     | 1654.85        
160602.00       | 2.08            | 15.76           | 21.25                     | 1658.02        
161525.00       | 2.09            | 15.85           | 21.50                     | 1661.15        
162448.00       | 2.11            | 15.94           | 21.74                     | 1664.27        
163371.00       | 2.12            | 16.03           | 21.99                     | 1667.35        
164294.00       | 2.13            | 16.12           | 22.24                     | 1670.40        
165217.00       | 2.14            | 16.21           | 22.49                     | 1673.43        
166140.00       | 2.15            | 16.30           | 22.74                     | 1676.43        
167063.00       | 2.17            | 16.39           | 23.00                     | 1679.39        
167986.00       | 2.18            | 16.48           | 23.25                     | 1682.34        
168909.00       | 2.19            | 16.57           | 23.51                     | 1685.25        
169832.00       | 2.20            | 16.66           | 23.77                     | 1688.15        
170755.00       | 2.21            | 16.75           | 24.02                     | 1691.01        
171678.00       | 2.23            | 16.84           | 24.29                     | 1693.84        
172601.00       | 2.24            | 16.93           | 24.55                     | 1696.65        
173524.00       | 2.25            | 17.02           | 24.81                     | 1699.44        
174447.00       | 2.26            | 17.11           | 25.07                     | 1702.20        
175370.00       | 2.27            | 17.20           | 25.34                     | 1704.93        
176293.00       | 2.28            | 17.29           | 25.61                     | 1707.64        
177216.00       | 2.30            | 17.40           | 25.88                     | 1710.33        
178139.00       | 2.31            | 17.51           | 26.15                     | 1712.98        
179062.00       | 2.32            | 17.62           | 26.42                     | 1715.62        
179985.00       | 2.33            | 17.73           | 26.69                     | 1718.23        
180908.00       | 2.34            | 17.83           | 26.97                     | 1720.82        
181831.00       | 2.36            | 17.94           | 27.24                     | 1723.38        
182754.00       | 2.37            | 18.05           | 27.52                     | 1725.92        
183677.00       | 2.38            | 18.16           | 27.80                     | 1728.43        
184600.00       | 2.39            | 18.28           | 28.08                     | 1730.93        
185523.00       | 2.40            | 18.41           | 28.36                     | 1733.40        
186446.00       | 2.42            | 18.54           | 28.64                     | 1735.85        
187369.00       | 2.43            | 18.67           | 28.93                     | 1738.27        
188292.00       | 2.44            | 18.80           | 29.21                     | 1740.67        
189215.00       | 2.45            | 18.93           | 29.50                     | 1743.05        
190138.00       | 2.46            | 19.06           | 29.79                     | 1745.41        
191061.00       | 2.48            | 19.21           | 30.08                     | 1747.75        
191984.00       | 2.49            | 19.37           | 30.37                     | 1750.07        
192907.00       | 2.50            | 19.52           | 30.66                     | 1752.36        
193830.00       | 2.51            | 19.68           | 30.96                     | 1754.63        
194753.00       | 2.52            | 19.84           | 31.25                     | 1756.88        
195676.00       | 2.54            | 19.99           | 31.55                     | 1759.12        
196599.00       | 2.55            | 20.18           | 31.85                     | 1761.33        
197522.00       | 2.56            | 20.37           | 32.15                     | 1763.52        
198445.00       | 2.57            | 20.56           | 32.45                     | 1765.69        
199368.00       | 2.58            | 20.74           | 32.75                     | 1767.84        
200291.00       | 2.60            | 20.94           | 33.05                     | 1769.97        
201214.00       | 2.61            | 21.17           | 33.36                     | 1772.08        
202137.00       | 2.62            | 21.39           | 33.67                     | 1774.17        
203060.00       | 2.63            | 21.62           | 33.97                     | 1776.25        
203983.00       | 2.64            | 21.85           | 34.28                     | 1778.30        
204906.00       | 2.66            | 22.12           | 34.60                     | 1780.34        
205829.00       | 2.67            | 22.39           | 34.91                     | 1782.35        
206752.00       | 2.68            | 22.66           | 35.22                     | 1784.35        
207675.00       | 2.69            | 22.98           | 35.54                     | 1786.33        
208598.00       | 2.70            | 23.31           | 35.85                     | 1788.29        
209521.00       | 2.72            | 23.64           | 36.17                     | 1790.24        
210444.00       | 2.73            | 24.03           | 36.49                     | 1792.16        
211367.00       | 2.74            | 24.42           | 36.81                     | 1794.07        
212290.00       | 2.75            | 24.88           | 37.13                     | 1795.96        
213213.00       | 2.76            | 25.35           | 37.46                     | 1797.83        
214136.00       | 2.78            | 25.90           | 37.78                     | 1799.69        
215059.00       | 2.79            | 26.50           | 38.11                     | 1801.53        
215982.00       | 2.80            | 27.18           | 38.44                     | 1803.35        
216905.00       | 2.81            | 27.99           | 38.77                     | 1805.15        
217828.00       | 2.82            | 28.94           | 39.10                     | 1806.95        
218751.00       | 2.84            | 29.91           | 39.43                     | 1808.72        
219674.00       | 2.85            | 30.88           | 39.76                     | 1810.47        
220597.00       | 2.86            | 31.85           | 40.10                     | 1812.21        
221520.00       | 2.87            | 32.82           | 40.43                     | 1813.94        
222443.00       | 2.88            | 33.79           | 40.77                     | 1815.64        
223366.00       | 2.90            | 34.76           | 41.11                     | 1817.34        
224289.00       | 2.91            | 35.72           | 41.45                     | 1819.01        
225212.00       | 2.92            | 36.69           | 41.79                     | 1820.68        
226135.00       | 2.93            | 37.66           | 42.13                     | 1822.32        
227058.00       | 2.94            | 38.63           | 42.48                     | 1823.95        
227981.00       | 2.95            | 39.60           | 42.83                     | 1825.57        
228904.00       | 2.97            | 40.57           | 43.17                     | 1827.17        
229827.00       | 2.98            | 41.54           | 43.52                     | 1828.76        
230750.00       | 2.99            | 42.51           | 43.87                     | 1830.33        
231673.00       | 3.00            | 43.47           | 44.22                     | 1831.88        
232596.00       | 3.01            | 44.44           | 44.58                     | 1833.43        
233519.00       | 3.03            | 45.41           | 44.93                     | 1834.96        
234442.00       | 3.04            | 46.38           | 45.29                     | 1836.47        
235365.00       | 3.05            | 47.35           | 45.64                     | 1837.97        
236288.00       | 3.06            | 48.32           | 46.00                     | 1839.46        
237211.00       | 3.07            | 49.29           | 46.36                     | 1840.93        
238134.00       | 3.09            | 50.26           | 46.73                     | 1842.40        
239057.00       | 3.10            | 51.23           | 47.09                     | 1843.84        
239980.00       | 3.11            | 52.19           | 47.45                     | 1845.28        
240903.00       | 3.12            | 53.16           | 47.82                     | 1846.70        
241826.00       | 3.13            | 54.13           | 48.19                     | 1848.10        
242749.00       | 3.15            | 55.10           | 48.55                     | 1849.50        
243672.00       | 3.16            | 56.07           | 48.92                     | 1850.88        
244595.00       | 3.17            | 57.04           | 49.29                     | 1852.25        
245518.00       | 3.18            | 58.01           | 49.67                     | 1853.61        
246441.00       | 3.19            | 58.98           | 50.04                     | 1854.95        
247364.00       | 3.21            | 59.94           | 50.42                     | 1856.28        
248287.00       | 3.22            | 60.91           | 50.79                     | 1857.60        
249210.00       | 3.23            | 61.88           | 51.17                     | 1858.91        
250133.00       | 3.24            | 62.85           | 51.55                     | 1860.20        
251056.00       | 3.25            | 63.82           | 51.93                     | 1861.49        
251979.00       | 3.27            | 64.79           | 52.32                     | 1862.76        
252902.00       | 3.28            | 65.76           | 52.70                     | 1864.02        
253825.00       | 3.29            | 66.73           | 53.09                     | 1865.26        
254748.00       | 3.30            | 67.69           | 53.47                     | 1866.50        
255671.00       | 3.31            | 68.66           | 53.86                     | 1867.73        
256594.00       | 3.33            | 69.63           | 54.25                     | 1868.94        
257517.00       | 3.34            | 70.60           | 54.64                     | 1870.14        
258440.00       | 3.35            | 71.57           | 55.03                     | 1871.34        
259363.00       | 3.36            | 72.54           | 55.43                     | 1872.52        
260286.00       | 3.37            | 73.51           | 55.82                     | 1873.69        
261209.00       | 3.39            | 74.48           | 56.22                     | 1874.85        
262132.00       | 3.40            | 75.44           | 56.62                     | 1876.00        
263055.00       | 3.41            | 76.41           | 57.02                     | 1877.13        
263978.00       | 3.42            | 77.38           | 57.42                     | 1878.26        
264901.00       | 3.43            | 78.35           | 57.82                     | 1879.38        
265824.00       | 3.45            | 79.32           | 58.22                     | 1880.49        
266747.00       | 3.46            | 80.29           | 58.63                     | 1881.58        
267670.00       | 3.47            | 81.26           | 59.03                     | 1882.67        
268593.00       | 3.48            | 82.23           | 59.44                     | 1883.75        
269516.00       | 3.49            | 83.19           | 59.85                     | 1884.82        
270439.00       | 3.51            | 84.16           | 60.26                     | 1885.87        
271362.00       | 3.52            | 85.13           | 60.67                     | 1886.92        
272285.00       | 3.53            | 86.10           | 61.09                     | 1887.96        
273208.00       | 3.54            | 87.07           | 61.50                     | 1888.99        
274131.00       | 3.55            | 88.04           | 61.92                     | 1890.01        
275054.00       | 3.56            | 89.01           | 62.34                     | 1891.02        
275977.00       | 3.58            | 89.98           | 62.76                     | 1892.02        
276900.00       | 3.59            | 90.95           | 63.18                     | 1893.01        
277823.00       | 3.60            | 91.91           | 63.60                     | 1893.99        
278746.00       | 3.61            | 92.88           | 64.02                     | 1894.96        
279669.00       | 3.62            | 93.85           | 64.45                     | 1895.93        
280592.00       | 3.64            | 94.82           | 64.87                     | 1896.88        
281515.00       | 3.65            | 95.79           | 65.30                     | 1897.83        
282438.00       | 3.66            | 96.76           | 65.73                     | 1898.77        
283361.00       | 3.67            | 97.73           | 66.16                     | 1899.70        
284284.00       | 3.68            | 98.70           | 66.59                     | 1900.62        
285207.00       | 3.70            | 99.66           | 67.02                     | 1901.53        
286130.00       | 3.71            | 100.63          | 67.46                     | 1902.43        
287053.00       | 3.72            | 101.60          | 67.89                     | 1903.33        
287976.00       | 3.73            | 102.57          | 68.33                     | 1904.22        
288899.00       | 3.74            | 103.54          | 68.77                     | 1905.10        
289822.00       | 3.76            | 104.51          | 69.21                     | 1905.97        
290745.00       | 3.77            | 105.48          | 69.65                     | 1906.83        
291668.00       | 3.78            | 106.45          | 70.09                     | 1907.69        
292591.00       | 3.79            | 107.41          | 70.54                     | 1908.53        
293514.00       | 3.80            | 108.38          | 70.99                     | 1909.37        
294437.00       | 3.82            | 109.35          | 71.43                     | 1910.21        
295360.00       | 3.83            | 110.32          | 71.88                     | 1911.03        
296283.00       | 3.84            | 111.29          | 72.33                     | 1911.85        
297206.00       | 3.85            | 112.26          | 72.78                     | 1912.66        
298129.00       | 3.86            | 113.23          | 73.23                     | 1913.46        
299052.00       | 3.88            | 114.20          | 73.69                     | 1914.25        
299975.00       | 3.89            | 115.16          | 74.14                     | 1915.04        
300898.00       | 3.90            | 116.13          | 74.60                     | 1915.82        
301821.00       | 3.91            | 117.10          | 75.06                     | 1916.59        
302744.00       | 3.92            | 118.07          | 75.52                     | 1917.36        
303667.00       | 3.94            | 119.04          | 75.98                     | 1918.12        
304590.00       | 3.95            | 120.01          | 76.44                     | 1918.87        
305513.00       | 3.96            | 120.98          | 76.91                     | 1919.61        
306436.00       | 3.97            | 121.95          | 77.37                     | 1920.35        
307359.00       | 3.98            | 122.92          | 77.84                     | 1921.08        
308282.00       | 4.00            | 123.88          | 78.31                     | 1921.81        
309205.00       | 4.01            | 124.85          | 78.78                     | 1922.52        
310128.00       | 4.02            | 125.82          | 79.25                     | 1923.24        
311051.00       | 4.03            | 126.79          | 79.72                     | 1923.94        
311974.00       | 4.04            | 127.76          | 80.19                     | 1924.64        
312897.00       | 4.06            | 128.73          | 80.67                     | 1925.33        
313820.00       | 4.07            | 129.70          | 81.15                     | 1926.02        
314743.00       | 4.08            | 130.67          | 81.62                     | 1926.69        
315666.00       | 4.09            | 131.63          | 82.10                     | 1927.37        
316589.00       | 4.10            | 132.60          | 82.58                     | 1928.03        
317512.00       | 4.12            | 133.57          | 83.07                     | 1928.70        
318435.00       | 4.13            | 134.54          | 83.55                     | 1929.35        
319358.00       | 4.14            | 135.51          | 84.04                     | 1930.00        
320281.00       | 4.15            | 136.48          | 84.52                     | 1930.64        
321204.00       | 4.16            | 137.45          | 85.01                     | 1931.28        
321972.00       | 4.45            | 138.25          | 97.02                     | 2000.00        




298.15 -> 2000 for radius = 0.0001 for material: Медь
        Counter |            Time |        Velocity |                  Distance |     Temperature
                |                 |                 |                           |                
0               | 0.00            | 0.00            | 0.00                      | 298.19         
923.00          | 0.01            | 0.09            | 0.00                      | 314.57         
1846.00         | 0.02            | 0.18            | 0.00                      | 330.83         
2769.00         | 0.04            | 0.27            | 0.01                      | 346.90         
3692.00         | 0.05            | 0.36            | 0.01                      | 362.84         
4615.00         | 0.06            | 0.45            | 0.02                      | 378.60         
5538.00         | 0.07            | 0.54            | 0.02                      | 394.24         
6461.00         | 0.08            | 0.63            | 0.03                      | 409.70         
7384.00         | 0.09            | 0.72            | 0.04                      | 425.04         
8307.00         | 0.11            | 0.82            | 0.06                      | 440.20         
9230.00         | 0.12            | 0.91            | 0.07                      | 455.25         
10153.00        | 0.13            | 1.00            | 0.08                      | 470.12         
11076.00        | 0.14            | 1.09            | 0.10                      | 484.88         
11999.00        | 0.15            | 1.18            | 0.12                      | 499.47         
12922.00        | 0.17            | 1.27            | 0.14                      | 513.94         
13845.00        | 0.18            | 1.36            | 0.16                      | 528.25         
14768.00        | 0.19            | 1.45            | 0.18                      | 542.44         
15691.00        | 0.20            | 1.54            | 0.20                      | 556.47         
16614.00        | 0.21            | 1.63            | 0.22                      | 570.40         
17537.00        | 0.23            | 1.72            | 0.25                      | 584.16         
18460.00        | 0.24            | 1.81            | 0.28                      | 597.82         
19383.00        | 0.25            | 1.90            | 0.30                      | 611.32         
20306.00        | 0.26            | 1.99            | 0.33                      | 624.72         
21229.00        | 0.27            | 2.08            | 0.36                      | 637.95         
22152.00        | 0.28            | 2.17            | 0.40                      | 651.09         
23075.00        | 0.30            | 2.26            | 0.43                      | 664.08         
23998.00        | 0.31            | 2.35            | 0.47                      | 676.97         
24921.00        | 0.32            | 2.44            | 0.50                      | 689.70         
25844.00        | 0.33            | 2.54            | 0.54                      | 702.34         
26767.00        | 0.34            | 2.63            | 0.58                      | 714.83         
27690.00        | 0.36            | 2.72            | 0.62                      | 727.23         
28613.00        | 0.37            | 2.81            | 0.66                      | 739.48         
29536.00        | 0.38            | 2.90            | 0.71                      | 751.64         
30459.00        | 0.39            | 2.99            | 0.75                      | 763.66         
31382.00        | 0.40            | 3.08            | 0.80                      | 775.59         
32305.00        | 0.42            | 3.17            | 0.85                      | 787.38         
33228.00        | 0.43            | 3.26            | 0.89                      | 799.07         
34151.00        | 0.44            | 3.35            | 0.94                      | 810.63         
35074.00        | 0.45            | 3.44            | 1.00                      | 822.11         
35997.00        | 0.46            | 3.53            | 1.05                      | 833.45         
36920.00        | 0.47            | 3.62            | 1.10                      | 844.70         
37843.00        | 0.49            | 3.71            | 1.16                      | 855.82         
38766.00        | 0.50            | 3.80            | 1.22                      | 866.86         
39689.00        | 0.51            | 3.89            | 1.28                      | 877.77         
40612.00        | 0.52            | 3.98            | 1.34                      | 888.59         
41535.00        | 0.53            | 4.07            | 1.40                      | 899.29         
42458.00        | 0.55            | 4.17            | 1.46                      | 909.91         
43381.00        | 0.56            | 4.26            | 1.52                      | 920.40         
44304.00        | 0.57            | 4.35            | 1.59                      | 930.82         
45227.00        | 0.58            | 4.44            | 1.66                      | 941.11         
46150.00        | 0.59            | 4.53            | 1.73                      | 951.33         
47073.00        | 0.60            | 4.62            | 1.79                      | 961.42         
47996.00        | 0.62            | 4.71            | 1.87                      | 971.44         
48919.00        | 0.63            | 4.80            | 1.94                      | 981.34         
49842.00        | 0.64            | 4.89            | 2.01                      | 991.17         
50765.00        | 0.65            | 4.98            | 2.09                      | 1000.88        
51688.00        | 0.66            | 5.07            | 2.16                      | 1010.52        
52611.00        | 0.68            | 5.16            | 2.24                      | 1020.04        
53534.00        | 0.69            | 5.25            | 2.32                      | 1029.50        
54457.00        | 0.70            | 5.34            | 2.40                      | 1038.84        
55380.00        | 0.71            | 5.43            | 2.48                      | 1048.11        
56303.00        | 0.72            | 5.52            | 2.57                      | 1057.27        
57226.00        | 0.74            | 5.61            | 2.65                      | 1066.37        
58149.00        | 0.75            | 5.70            | 2.74                      | 1075.36        
59072.00        | 0.76            | 5.80            | 2.83                      | 1084.28        
59995.00        | 0.77            | 5.89            | 2.92                      | 1093.09        
60918.00        | 0.78            | 5.98            | 3.01                      | 1101.84        
61841.00        | 0.79            | 6.07            | 3.10                      | 1110.49        
62764.00        | 0.81            | 6.16            | 3.19                      | 1119.07        
63687.00        | 0.82            | 6.25            | 3.29                      | 1127.55        
64610.00        | 0.83            | 6.34            | 3.38                      | 1135.96        
65533.00        | 0.84            | 6.43            | 3.48                      | 1144.28        
66456.00        | 0.85            | 6.52            | 3.58                      | 1152.54        
67379.00        | 0.87            | 6.61            | 3.68                      | 1160.69        
68302.00        | 0.88            | 6.70            | 3.78                      | 1168.79        
69225.00        | 0.89            | 6.79            | 3.88                      | 1176.79        
70148.00        | 0.90            | 6.88            | 3.99                      | 1184.73        
71071.00        | 0.91            | 6.97            | 4.09                      | 1192.58        
71994.00        | 0.93            | 7.06            | 4.20                      | 1200.37        
72917.00        | 0.94            | 7.15            | 4.31                      | 1208.07        
73840.00        | 0.95            | 7.24            | 4.42                      | 1215.71        
74763.00        | 0.96            | 7.33            | 4.53                      | 1223.26        
75686.00        | 0.97            | 7.42            | 4.64                      | 1230.75        
76609.00        | 0.98            | 7.52            | 4.75                      | 1238.16        
77532.00        | 1.00            | 7.61            | 4.87                      | 1245.51        
